dense_params,account_balance,roi,gamma,aggregation,downside_deviation,eps_end,learning_rate,stopping_metric,mean,n_samples,fx_pair,eps_start,sum,memory,sharpe,conv_params,neutral_cost,tech_indicators,median,standard_deviation,max_steps,start_memory,target_update,pip_size,eps_decay,sortino,stop_loss,actions,batch_size,model_name
"[{'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}, {'out_features': 2000}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.0017659064244569874,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 1, 'out_channels': 467, 'stride': 1}, {'kernel_size': 1, 'out_channels': 467, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_09-18-57
"[{'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}]",86881.06302130898,-0.13118936978691026,0.999,1 min,1532711.8227536946,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-128.37322859792047,100,EURUSD,0.9,-12837.322859792046,1000,-8.178584353009247e-05,"[{'kernel_size': 4, 'out_channels': 64}, {'kernel_size': 4, 'out_channels': 64}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-260.2466916370116,627.049010836573,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.182148966929625e-07,90,"['long', 'neutral', 'short']",16,2020-03-23_23-46-45
"[{'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}]",90637.43368150992,-0.09362566318490077,0.999,5 min,2343806.733284638,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-90.08104195489055,100,EURUSD,0.9,-9008.104195489055,1000,-6.976936038057756e-05,"[{'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-223.9453870021557,729.558220713153,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-6.127879963192278e-08,60,"['long', 'neutral', 'short']",16,2020-03-25_15-03-03
"[{'out_features': 768}, {'out_features': 768}, {'out_features': 768}, {'out_features': 768}, {'out_features': 768}, {'out_features': 768}, {'out_features': 768}]",100000.0,0.0,0.999,15 min,0.0,0.05,0.0031986404615044596,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 3, 'out_channels': 473, 'stride': 1}]",-2525,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-20_10-26-29
"[{'out_features': 1583}, {'out_features': 1583}, {'out_features': 1583}, {'out_features': 1583}, {'out_features': 1583}, {'out_features': 1583}, {'out_features': 1583}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.009180327374935151,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 7, 'out_channels': 184, 'stride': 1}, {'kernel_size': 7, 'out_channels': 184, 'stride': 1}, {'kernel_size': 7, 'out_channels': 184, 'stride': 1}]",-100,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_01-11-14
"[{'out_features': 708}, {'out_features': 708}, {'out_features': 708}, {'out_features': 708}, {'out_features': 708}, {'out_features': 708}]",100000.0,0.0,0.999,1 min,0.0,0.05,0.0035145313679575923,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 2, 'out_channels': 392, 'stride': 1}, {'kernel_size': 2, 'out_channels': 392, 'stride': 1}, {'kernel_size': 2, 'out_channels': 392, 'stride': 1}, {'kernel_size': 2, 'out_channels': 392, 'stride': 1}, {'kernel_size': 2, 'out_channels': 392, 'stride': 1}, {'kernel_size': 2, 'out_channels': 392, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_15-04-24
"[{'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}]",86888.11487714131,-0.13111885122858685,0.999,30 min,172135.27808021675,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-126.23415466544951,100,EURUSD,0.9,-12623.415466544951,1000,-0.00010671105769815389,"[{'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-245.47766179260356,480.38453232894284,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.0521890297477757e-06,90,"['long', 'neutral', 'short']",16,2020-03-25_16-53-19
"[{'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}]",93749.04587901299,-0.06250954120987008,0.999,15 min,305110.74076305307,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-63.09961534018928,100,EURUSD,0.9,-6309.961534018928,1000,-7.851711416420137e-05,"[{'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}]",-128,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-242.35430713065443,644.8402579788942,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-3.6874985432664345e-07,60,"['long', 'neutral', 'short']",16,2020-03-25_20-23-39
"[{'out_features': 2048}, {'out_features': 2048}]",156214.3540984722,0.562143540984722,0.999,1 min,180143364.40994346,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",465.90634810979435,100,EURUSD,0.9,NA,10000,-4.290878324520386e-06,"[{'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}, {'kernel_size': 1, 'out_channels': 512}]",-750,"{'macd': [12, 26], 'rsi': [14]}",1963.5815050732213,10566.819445752997,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,2.8429775510313103e-09,NA,"['long', 'neutral', 'short']",16,2020-03-17_13-56-42
"[{'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}]",82923.7920170808,-0.17076207982919195,0.999,1 hour,131486.06127501238,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-169.90087965570842,100,EURUSD,0.9,-16990.08796557084,1000,-0.0001301207412564627,"[{'kernel_size': 5, 'out_channels': 128}, {'kernel_size': 5, 'out_channels': 128}, {'kernel_size': 5, 'out_channels': 128}, {'kernel_size': 5, 'out_channels': 128}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-253.15898215020337,397.31566464611853,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.6789770542099703e-06,180,"['long', 'neutral', 'short']",16,2020-03-26_09-32-26
