,arm_name,account_balance,downside_deviation,mean,median,roi,sharpe,sortino,standard_deviation,total,trial_index,learning_rate,target_update,neutral_cost,stop_loss
2,11_0,83007.8125,1770207.2367167354,-166.015625,-195.3125,-0.169921875,-8.26663417221547e-05,-1.242351010878798e-07,624.9237013975061,-16601.5625,11,0.01,512,-2000,150
6,14_0,84667.96875,115474.72307355239,-148.4375,-195.3125,-0.1533203125,-0.0001254896673201251,-1.7607343588994256e-06,410.26784196234235,-14843.75,14,0.01,256,-2000,100
0,0_0,85742.1875,1483374.8306094462,-138.671875,-292.96875,-0.142578125,-8.245704409600311e-05,-1.2982431751311236e-07,623.193801249672,-13867.1875,0,0.01,128,-1000,100
8,16_0,87304.6875,115109.92037827772,-136.71875,-195.3125,-0.126953125,-0.00014577406080958132,-1.5372534740575899e-06,352.37536235681085,-13671.875,16,0.001,512,-2000,50
17,7_0,88671.875,114665.76134382958,-107.421875,-244.140625,-0.11328125,-0.00011260991128086086,-1.423975632188889e-06,453.5499421770751,-10742.1875,7,0.001,128,-500,100
9,17_0,90039.0625,2541463.3734757826,-97.65625,-292.96875,-0.099609375,-7.244412330576466e-05,-5.886741338136605e-08,703.6673255723367,-9765.625,17,0.001,128,-500,150
18,8_0,91601.5625,102618.69069134314,-84.9609375,-292.96875,-0.083984375,-0.00010988778574606503,-1.3056527431537657e-06,462.74123215573917,-8496.09375,8,0.001,512,-500,150
12,2_0,91015.625,335120.45395134855,-84.9609375,-195.3125,-0.08984375,-9.260917921618488e-05,-4.1729398594184865e-07,549.0774219723702,-8496.09375,2,0.01,256,-1500,100
15,5_0,91015.625,135533.53442822187,-83.984375,-195.3125,-0.08984375,-0.00010716290593610757,-1.0318018384893577e-06,474.4164345478987,-8398.4375,5,0.001,128,-1500,150
10,18_0,91796.875,110344.20053646169,-78.125,-292.96875,-0.08203125,-9.636241116594315e-05,-1.1965400026290653e-06,526.9819360637516,-7812.5,18,0.01,256,-2000,150
19,9_0,93359.375,115396.80750816116,-63.4765625,-195.3125,-0.06640625,-0.00010078416449698833,-1.0087475772825643e-06,502.4079514645685,-6347.65625,9,0.001,256,-1500,150
7,15_0,93554.6875,114589.78107488774,-60.546875,-195.3125,-0.064453125,-9.50936147471166e-05,-9.98807432271832e-07,532.1647398153455,-6054.6875,15,0.001,512,-500,50
16,6_0,94335.9375,98951.05573680383,-54.6875,-195.3125,-0.056640625,-0.00010396509162659386,-1.077710835987939e-06,486.19083780108275,-5468.75,6,0.01,512,-1000,100
3,1_0,95800.78125,110990.78973415561,-49.8046875,-292.96875,-0.0419921875,-9.182841780970631e-05,-8.288272181893567e-07,549.9174229446686,-4980.46875,1,0.001,512,-1500,100
11,19_0,94824.21875,101836.49081985155,-47.8515625,-195.3125,-0.0517578125,-9.960683985335556e-05,-9.992274054298403e-07,506.7776038203412,-4785.15625,19,0.001,256,-1000,50
14,4_0,97753.90625,115718.45762588331,-22.4609375,-195.3125,-0.0224609375,-9.380867162858092e-05,-6.261830565895161e-07,535.394100599309,-2246.09375,4,0.001,256,-1000,150
4,12_0,98437.5,109603.48972238689,-11.71875,-195.3125,-0.015625,-9.397061153808453e-05,-5.987491836822041e-07,533.3283106249494,-1171.875,12,0.01,128,-500,50
13,3_0,100585.9375,186196.6375030054,8.7890625,-195.3125,0.005859375,-9.097547068758722e-05,-2.3706456567609892e-07,548.6326039070448,878.90625,3,0.001,128,-500,50
5,13_0,101074.21875,237049.49099684446,11.71875,-146.484375,0.0107421875,-8.700775578041312e-05,-1.6561019530104197e-07,573.3145517037855,1171.875,13,0.01,512,-500,150
1,10_0,103417.96875,118262.62324398383,31.25,-195.3125,0.0341796875,-7.896433502625779e-05,-1.3377271758433451e-07,629.2397698717725,3125.0,10,0.001,256,-2000,100
