,arm_name,account_balance,downside_deviation,mean,median,roi,sharpe,sortino,standard_deviation,total,trial_index,n_conv_layers,n_dense_layers,conv_filter_size,conv_kernel_size,target_update,neutral_cost,stop_loss,aggregation,n_nodes_dense_layers
85,87_0,107910.15625,110291.57094045794,81.0546875,-97.65625,0.0791015625,-8.36241522175484e-05,2.638602592369528e-07,588.2206494247444,8105.46875,87,4,6,256,2,256,-1000,50,15 min,1024
79,81_0,104003.90625,108786.21752808335,45.8984375,-97.65625,0.0400390625,-8.048417540184094e-05,-9.15643334821212e-08,615.537344796687,4589.84375,81,4,9,256,1,256,-500,50,30 min,512
63,6_0,103906.25,253071.65770098526,44.921875,-97.65625,0.0390625,-7.51490141789427e-05,-4.3218984296230893e-08,659.3670162061087,4492.1875,6,3,9,64,3,256,-1500,150,15 min,2048
26,33_0,103417.96875,126149.87621807391,38.0859375,-195.3125,0.0341796875,-6.967606303811038e-05,-1.2540886265042068e-07,712.140417547129,3808.59375,33,7,10,512,4,256,-500,50,15 min,1024
21,28_0,101464.84375,118897.11600230761,20.5078125,-244.140625,0.0146484375,-8.019645354263005e-05,-2.9732901594782066e-07,620.9117694778174,2050.78125,28,3,4,512,3,256,-2000,150,30 min,512
17,24_0,102050.78125,166926.36673579627,20.5078125,-195.3125,0.0205078125,-9.361732935649738e-05,-1.766778255389632e-07,531.8985514463841,2050.78125,24,8,6,64,4,256,-1000,50,15 min,1024
5,13_0,100488.28125,108683.9966962689,9.765625,-195.3125,0.0048828125,-8.973201614216302e-05,-4.151226387642484e-07,556.1264072228065,976.5625,13,4,4,128,4,512,-1500,150,1 min,2048
68,71_0,100195.3125,193886.02269021948,6.8359375,-195.3125,0.001953125,-8.849107113151297e-05,-2.4780989538769734e-07,564.2562575696817,683.59375,71,2,3,128,3,512,-1500,100,30 min,2048
6,14_0,99902.34375,108916.21323365055,2.9296875,-195.3125,-0.0009765625,-8.15940354536468e-05,-4.68034656976583e-07,612.4308332977124,292.96875,14,12,5,128,4,128,-2000,100,5 min,1024
56,60_0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,8,6,128,2,128,-500,50,5 min,1024
4,12_0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,6,512,1,256,-1000,50,1 hour,1024
88,89_0,99414.0625,109581.54146961549,-7.8125,-97.65625,-0.005859375,-9.576502034511764e-05,-5.097516812673105e-07,522.9271065732418,-781.25,89,9,4,128,5,512,-1500,100,15 min,2048
93,94_0,99511.71875,332015.06901079416,-7.8125,-97.65625,-0.0048828125,-9.155157897781421e-05,-1.6530217337278658e-07,546.993569735542,-781.25,94,5,4,256,1,128,-1500,50,5 min,2048
39,4_0,98535.15625,468752.61988979846,-9.765625,-195.3125,-0.0146484375,-8.655223565083186e-05,-1.3791589584117642e-07,578.8141215913064,-976.5625,4,5,4,64,5,512,-500,50,30 min,512
72,75_0,97753.90625,386866.9492704253,-16.6015625,-292.96875,-0.0224609375,-7.15121912693113e-05,-1.8730195907572557e-07,701.5029847998549,-1660.15625,75,3,2,128,5,256,-1500,150,5 min,2048
10,18_0,97753.90625,125816.25499360605,-19.53125,-195.3125,-0.0224609375,-9.399992884078997e-05,-5.759266757994223e-07,533.9930904098561,-1953.125,18,7,5,64,4,256,-1000,150,1 min,2048
65,68_0,97265.625,114229.1078335188,-22.4609375,-97.65625,-0.02734375,-0.00011359790297839626,-6.770931811244055e-07,442.1262017887036,-2246.09375,68,9,9,128,1,512,-1000,50,1 hour,1024
41,46_0,97558.59375,110990.78973415561,-25.390625,-195.3125,-0.0244140625,-8.172125784037087e-05,-6.704525905098618e-07,614.9428872982205,-2539.0625,46,6,3,64,4,256,-2000,100,5 min,2048
29,35_0,97167.96875,95612.7994024115,-27.34375,-195.3125,-0.0283203125,-0.00010503585446098814,-8.191404601633768e-07,478.63120415393286,-2734.375,35,5,11,64,3,256,-1500,50,15 min,1024
36,42_0,96484.375,110020.2935184955,-30.2734375,-146.484375,-0.03515625,-9.592677763244275e-05,-7.740049337869145e-07,524.3867835083772,-3027.34375,42,9,9,256,4,128,-1500,150,5 min,512
49,54_0,96289.0625,118533.2509256612,-37.109375,-195.3125,-0.037109375,-9.006862803056698e-05,-7.348940007950271e-07,559.2523706801145,-3710.9375,54,9,4,64,3,128,-500,100,15 min,2048
77,79_0,95996.09375,104773.56534657194,-40.0390625,-195.3125,-0.0400390625,-8.613410444303289e-05,-8.593681259406142e-07,585.1386155449454,-4003.90625,79,7,7,512,1,256,-1000,50,30 min,512
0,0_0,95410.15625,167347.9314557752,-41.015625,-97.65625,-0.0458984375,-9.535808292878116e-05,-5.73048239471923e-07,528.6406217672095,-4101.5625,0,4,7,64,3,512,-500,50,5 min,1024
38,44_0,95214.84375,93084.43233312592,-43.9453125,-292.96875,-0.0478515625,-9.287480567267187e-05,-1.0512129692085752e-06,543.0908065936515,-4394.53125,44,9,8,128,2,128,-1000,100,5 min,512
71,74_0,95410.15625,111809.83371033134,-52.734375,-195.3125,-0.0458984375,-9.566991049103141e-05,-8.576923363328363e-07,528.1424796016371,-5273.4375,74,8,5,64,5,256,-1500,100,30 min,512
31,37_0,94628.90625,99558.56076614922,-52.734375,-292.96875,-0.0537109375,-9.398205115171548e-05,-1.0417078822945643e-06,537.6275909155629,-5273.4375,37,5,2,128,4,256,-500,150,5 min,2048
67,70_0,94824.21875,155964.291608021,-53.7109375,-195.3125,-0.0517578125,-9.84910604956359e-05,-6.524430140441631e-07,513.1136685977635,-5371.09375,70,5,4,256,5,512,-1500,100,30 min,1024
40,45_0,94140.625,108645.36768125744,-55.6640625,-195.3125,-0.05859375,-9.98812420406638e-05,-9.995248975417997e-07,506.16752046813065,-5566.40625,45,2,8,256,2,128,-1000,50,5 min,1024
82,84_0,93847.65625,115345.60333533546,-59.5703125,-195.3125,-0.0615234375,-0.00010541053139150577,-9.66863359115444e-07,479.98717449855417,-5957.03125,84,11,4,64,5,256,-1000,100,1 hour,1024
96,97_0,93750.0,187738.00012297343,-59.5703125,-292.96875,-0.0625,-8.07975383355531e-05,-5.992393651062091e-07,626.2035226231209,-5957.03125,97,8,9,256,3,512,-500,150,1 hour,512
24,31_0,94238.28125,138878.72718921705,-61.5234375,-292.96875,-0.0576171875,-8.584479648250816e-05,-7.749004450003032e-07,589.61330737517,-6152.34375,31,7,2,512,5,256,-1000,50,30 min,1024
81,83_0,93652.34375,569320.7214516086,-61.5234375,-195.3125,-0.0634765625,-8.358253332574364e-05,-1.9931922065064928e-07,605.5719103145486,-6152.34375,83,3,11,512,3,256,-500,100,15 min,1024
61,65_0,93847.65625,127516.75257277448,-62.5,-195.3125,-0.0615234375,-9.202953324769704e-05,-8.745787141681873e-07,550.0951511265744,-6250.0,65,5,5,128,5,256,-1000,150,5 min,2048
99,9_0,93261.71875,102952.33657423934,-62.5,-195.3125,-0.0673828125,-0.00010566309782491201,-1.1401665703366994e-06,479.1171283269364,-6250.0,9,7,3,64,2,256,-1000,50,1 hour,512
27,3_0,93164.0625,117546.71933117103,-67.3828125,-146.484375,-0.068359375,-0.00011260788116016832,-1.0069134695842887e-06,450.0025007390367,-6738.28125,3,5,8,512,2,128,-1000,100,30 min,2048
91,92_0,92968.75,124707.2018693343,-70.3125,-195.3125,-0.0703125,-0.00010700811052858382,-9.647598390192494e-07,473.82506568468256,-7031.25,92,4,9,64,1,128,-1000,150,1 hour,512
52,56_0,92285.15625,114322.71889057152,-72.265625,-292.96875,-0.0771484375,-9.54476283635983e-05,-1.1121887122165552e-06,531.418717464378,-7226.5625,56,7,6,128,3,128,-1500,50,1 min,1024
2,11_0,94335.9375,105361.96475783028,-73.2421875,-292.96875,-0.056640625,-9.03683278442085e-05,-1.0121358807716681e-06,561.3960453319523,-7324.21875,11,6,5,256,2,512,-500,100,15 min,512
43,48_0,92871.09375,102023.83327563232,-73.2421875,-292.96875,-0.0712890625,-0.00010018676190864104,-1.1888306742241281e-06,506.3784966047931,-7324.21875,48,12,3,128,1,128,-1500,50,15 min,2048
25,32_0,92089.84375,1506697.9839764202,-79.1015625,-195.3125,-0.0791015625,-7.501224715687841e-05,-8.568509673005604e-08,677.1029738487524,-7910.15625,32,6,8,128,5,512,-2000,50,30 min,1024
23,30_0,91894.53125,2396840.912349396,-79.1015625,-195.3125,-0.0810546875,-7.291877058024842e-05,-5.467809182693711e-08,696.542402194008,-7910.15625,30,2,4,64,5,512,-2000,50,1 hour,512
32,38_0,93554.6875,105552.76140146561,-80.078125,-292.96875,-0.064453125,-9.461685636500665e-05,-1.0843214661593003e-06,536.9104745355744,-8007.8125,38,8,9,64,4,256,-1500,150,5 min,1024
28,34_0,92089.84375,118969.79220035969,-81.0546875,-195.3125,-0.0791015625,-0.00010537247429495668,-1.0851625451490841e-06,482.1994284083342,-8105.46875,34,4,2,64,2,512,-2000,150,1 hour,2048
