,arm_name,account_balance,downside_deviation,mean,median,roi,sharpe,sortino,standard_deviation,total,trial_index,n_dense_layers,n_dropout_layers,stop_loss,n_nodes_dense_layers
1,10_0,114636.71875000147,95453.01200262783,142.57812500001066,-109.37499999998934,0.1463671875000147,-7.802067380537395e-05,1.009577230494955e-06,622.5813797913415,14257.812500001066,10,5,2,125,512
3,1_0,110828.12500000147,83607.56826774651,110.35156250001067,-11.718749999989342,0.10828125000001469,-8.800817455730232e-05,6.970810323459436e-07,555.5902576204815,11035.156250001068,1,6,6,150,1024
7,15_0,109851.56250000147,79205.11003191334,99.6093750000107,-109.37499999998934,0.09851562500001469,-8.174720350078464e-05,6.125315018243995e-07,599.4566682581324,9960.93750000107,15,6,5,125,512
17,7_0,107898.43750000147,84136.2098756253,73.24218750001067,-109.37499999998934,0.07898437500001469,-7.999566435171483e-05,3.4449347127545874e-07,615.8781044480914,7324.218750001068,7,6,1,100,512
2,11_0,106531.25000000147,78702.89022840516,61.523437500010694,-109.37499999998934,0.06531250000001469,-8.804774790606525e-05,1.9456083449509912e-07,560.8861873183469,6152.34375000107,11,6,3,75,1024
18,8_0,106140.62500000147,76575.47534225266,57.617187500010694,-109.37499999998934,0.0614062500000147,-0.00010412191729869217,1.489543479689114e-07,474.67266649747614,5761.71875000107,8,5,0,50,512
6,14_0,105750.00000000147,82866.76468950859,56.64062500001068,-109.37499999998934,0.0575000000000147,-9.30256979525963e-05,9.05067312343647e-08,531.3971820473746,5664.062500001068,14,5,1,125,1024
13,3_0,104773.43750000147,79605.46576065838,46.87500000001071,-109.37499999998934,0.0477343750000147,-0.00010458287733320628,-2.84606713664251e-08,473.60764269461487,4687.5000000010705,3,5,5,175,512
0,0_0,104089.84375000147,83019.59065104467,43.94531250001069,-60.54687499998934,0.0408984375000147,-0.000108236022411579,-1.096315029815288e-07,457.89327592380135,4394.531250001069,0,5,5,200,512
8,16_0,102917.96875000147,67958.89385612229,33.20312500001066,-109.37499999998934,0.0291796875000147,-0.00011165651017380856,-3.0636626523181176e-07,444.82823861040384,3320.312500001066,16,5,2,100,1024
10,18_0,101062.50000000147,76120.3854823853,15.625000000010687,-207.03124999998934,0.010625000000014697,-9.235592730762246e-05,-5.172727351610287e-07,539.6919445568288,1562.5000000010687,18,6,1,175,1024
11,19_0,101062.50000000147,84467.97537618886,12.695312500010669,-109.37499999998934,0.010625000000014697,-0.00011042968836536752,-4.6615299851362294e-07,451.62716306859437,1269.5312500010668,19,5,2,200,512
9,17_0,100476.56250000147,81121.80991705241,9.765625000010694,-207.03124999998934,0.004765625000014697,-9.832087733894919e-05,-5.5761052479275e-07,507.5457532581576,976.5625000010693,17,5,5,125,1024
4,12_0,99597.65625000147,86191.90873890609,-2.929687499989339,-207.03124999998934,-0.004023437499985303,-9.702042511710329e-05,-6.267808462582488e-07,515.6573661124935,-292.9687499989339,12,6,5,200,512
16,6_0,99011.71875000147,78634.94814969346,-8.789062499989322,-207.03124999998934,-0.009882812499985303,-9.995734037341784e-05,-7.615292425193612e-07,501.09267051207,-878.9062499989323,6,5,1,200,1024
15,5_0,97156.25000000147,85577.53485167991,-27.34374999998933,-207.03124999998934,-0.0284374999999853,-9.41235697528139e-05,-9.165664813310004e-07,534.1216618964553,-2734.374999998933,5,5,1,175,512
5,13_0,96863.28125000147,79212.36413355687,-37.10937499998932,-207.03124999998934,-0.0313671874999853,-0.00011033969192449291,-1.0272031189827295e-06,456.5092839344665,-3710.9374999989323,13,6,0,150,512
14,4_0,95496.09375000147,85657.83648015032,-41.99218749998932,-158.20312499998934,-0.0450390624999853,-0.00010739041237137599,-1.1095197638106225e-06,469.5011478365353,-4199.218749998932,4,5,0,175,1024
19,9_0,93933.59375000147,86131.42105424088,-56.640624999989306,-207.03124999998934,-0.0606640624999853,-0.00011206742169639304,-1.2848280121872726e-06,451.21414845245255,-5664.06249999893,9,6,4,100,1024
12,2_0,90320.31250000147,79617.73658323329,-91.7968749999893,-304.6874999999893,-0.09679687499998531,-0.00011311392849709316,-1.843771015099408e-06,450.1476469479035,-9179.68749999893,2,6,1,125,1024
