,arm_name,account_balance,downside_deviation,mean,median,roi,sharpe,sortino,standard_deviation,total,trial_index,n_conv_layers,n_dense_layers,n_dropout_layers,conv_filter_size,conv_kernel_size,n_nodes_dense_layers
15,5_0,118542.96875000147,77789.04764986978,184.5703125000107,-11.718749999989342,0.1854296875000147,-7.886834414322281e-05,1.7409865731945546e-06,610.5655874751595,18457.03125000107,5,7,5,0,128,2,1024
8,16_0,108093.75000000147,82868.86023665196,79.1015625000107,-109.37499999998934,0.08093750000001469,-8.372199371047296e-05,3.7333082549543e-07,587.7665138407261,7910.15625000107,16,7,6,4,256,2,512
16,6_0,108191.40625000147,91842.67703510517,77.1484375000107,-109.37499999998934,0.08191406250001469,-8.612137911804548e-05,3.474861962899462e-07,571.6178274098814,7714.84375000107,6,4,5,2,256,2,1024
2,11_0,106335.93750000147,90430.95904930233,65.42968750001066,-11.718749999989342,0.06335937500001469,-8.724279572222306e-05,1.4773010416411985e-07,565.6135009945609,6542.968750001066,11,9,5,3,256,1,1024
1,10_0,105359.37500000147,83048.42491153048,58.59375000001068,-60.54687499998934,0.0535937500000147,-0.00010555052216916834,4.327294592092545e-08,468.1555475472001,5859.375000001068,10,7,5,3,256,2,512
13,3_0,106140.62500000147,84318.32115735867,55.66406250001069,-109.37499999998934,0.0614062500000147,-9.360866274676657e-05,1.3527605677451564e-07,528.1921344048659,5566.406250001069,3,11,5,2,256,2,1024
6,14_0,106531.25000000147,67673.94549553195,51.757812500010694,-109.37499999998934,0.06531250000001469,-9.493442738234271e-05,2.262687639665648e-07,521.2273696634036,5175.78125000107,14,10,6,3,256,1,2048
7,15_0,105066.40625000147,86637.28872492674,48.82812500001068,-109.37499999998934,0.0506640625000147,-9.630433061256184e-05,7.664857820321383e-09,514.1172617583371,4882.812500001068,15,10,5,4,128,2,1024
19,9_0,104089.84375000147,90387.52467446054,42.96875000001066,-109.37499999998934,0.0408984375000147,-8.991975434951976e-05,-1.0069489714167376e-07,551.2727749157228,4296.875000001066,9,4,5,5,128,1,512
4,12_0,104773.43750000147,80518.261408061,41.99218750001068,-60.54687499998934,0.0477343750000147,-0.00010001635453729365,-2.8138026832239615e-08,495.7197085853864,4199.218750001068,12,8,6,3,256,1,2048
0,0_0,103894.53125000147,85579.3761478368,37.10937500001069,-109.37499999998934,0.0389453125000147,-0.00010380078638462977,-1.2917466798178729e-07,478.1168619099081,3710.9375000010687,0,7,6,2,128,2,512
5,13_0,103796.87500000147,84329.80255572448,34.179687500010694,-109.37499999998934,0.0379687500000147,-9.667038334351896e-05,-1.4266901659155608e-07,513.6857991815247,3417.9687500010696,13,8,6,3,256,1,1024
3,1_0,103015.62500000147,82667.22512459723,30.273437500010676,-11.718749999989342,0.0301562500000147,-0.00010828860669083806,-2.4004374127807625e-07,458.9334662591482,3027.3437500010677,1,9,5,1,128,1,512
12,2_0,101550.78125000147,84177.41039072783,19.531250000010665,-109.37499999998934,0.015507812500014697,-9.451318272855652e-05,-4.097558637154824e-07,526.960219327708,1953.1250000010666,2,11,5,4,128,2,1024
14,4_0,100964.84375000147,78132.17897833668,10.742187500010687,-109.37499999998934,0.009648437500014697,-0.00011390773476245271,-5.164525426991276e-07,438.0086938700666,1074.2187500010687,4,11,5,0,128,1,512
9,17_0,100476.56250000147,72479.58658640581,9.765625000010681,-109.37499999998934,0.004765625000014697,-0.00010774837386375706,-6.240981375640104e-07,463.13779002455425,976.5625000010682,17,3,6,3,128,2,512
10,18_0,99597.65625000147,78549.1313877932,-3.906249999989318,-207.03124999998934,-0.004023437499985303,-0.00010323933026762386,-6.877661986263636e-07,484.6899177889406,-390.6249999989318,18,2,6,4,128,1,512
17,7_0,98816.40625000147,81648.20773718589,-16.601562499989328,-207.03124999998934,-0.011835937499985303,-9.95133462845625e-05,-7.573459260615555e-07,504.1134430506247,-1660.1562499989327,7,6,6,4,256,1,2048
18,8_0,97839.84375000147,91561.23462826932,-24.414062499989328,-207.03124999998934,-0.0216015624999853,-0.00010274988931264092,-7.820073941846837e-07,488.9945961121201,-2441.4062499989327,8,12,6,1,256,1,2048
11,19_0,94226.56250000147,81006.75439482366,-60.546874999989306,-207.03124999998934,-0.0577343749999853,-0.00012831293177644553,-1.3299431115940322e-06,394.39102551384127,-6054.68749999893,19,7,6,4,128,2,512
